BX = 000 Event : 1
0x01 0011000|0101001 0x0C29
0x02 0011000|0110000 0x0C30
0x03 0011000|0110010 0x0C32
0x04 0011001|0110000 0x0CB0
0x05 0011001|0110010 0x0CB2
0x06 0101001|0101001 0x14A9
0x07 0101001|0110000 0x14B0
0x08 0101001|0110010 0x14B2
0x09 0101010|0101001 0x1529
0x0a 0101010|0110000 0x1530
0x0b 0101010|0110010 0x1532
0x0c 1001010|0010100 0x2514
0x0d 1010101|1011000 0x2AD8
BX = 111 Event : 64
0x00 0101111|0100101 0x17A5
0x01 0111001|0000101 0x1C85
0x02 0111010|0000101 0x1D05
0x03 0111101|0001000 0x1E88
0x04 0111110|0001000 0x1F08
0x05 0111111|0001000 0x1F88
0x06 1000000|0000110 0x2006
0x07 1000010|0001000 0x2108
BX = 000 Event : 65
0x00 0001011|0010001 0x0591
0x01 0001011|0010010 0x0592
0x02 0110011|0111000 0x19B8
0x03 0110011|0111010 0x19BA
0x04 0110111|0110011 0x1BB3
0x05 0110111|0111000 0x1BB8
0x06 0110111|0111010 0x1BBA
0x07 0111001|0111000 0x1CB8
0x08 0111001|0111010 0x1CBA
BX = 001 Event : 66
0x00 0000100|0001001 0x0209
0x01 0000100|0001110 0x020E
0x02 0011001|0011000 0x0C98
0x03 0011001|0011011 0x0C9B
0x04 0101101|0000100 0x1684
0x05 0101111|0001001 0x1789
0x06 0101111|0001110 0x178E
0x07 0110001|0001110 0x188E
BX = 010 Event : 67
0x00 0001001|0001010 0x048A
0x01 0001001|0001011 0x048B
0x02 0110101|0101010 0x1AAA
0x03 1000011|0111110 0x21BE
0x04 1010000|0001010 0x280A
0x05 1010000|0001011 0x280B
0x06 1010010|0001010 0x290A
0x07 1010010|0001011 0x290B
0x08 1011000|0101010 0x2C2A
BX = 011 Event : 68
0x00 0101010|0000010 0x1502
0x01 0101011|0000010 0x1582
0x02 0101110|0011001 0x1719
BX = 100 Event : 69
0x00 0100100|0111001 0x1239
0x01 0100101|0000010 0x1282
0x02 0100111|0000010 0x1382
BX = 101 Event : 70
0x00 0100001|0000101 0x1085
BX = 110 Event : 71
0x00 0000110|0010011 0x0313
0x01 0000110|0010100 0x0314
0x02 0000110|0011010 0x031A
0x03 0000110|0011011 0x031B
0x04 0001000|0010011 0x0413
0x05 0001000|0010100 0x0414
