BX = 000 Event : 1
0x10 0110011|0000010 0x1982
0x11 0110011|0000111 0x1987
0x12 0110011|0001001 0x1989
0x13 0110101|0001001 0x1A89
0x14 0111000|0001001 0x1C09
0x15 0111110|0110101 0x1F35
0x16 0111110|0111000 0x1F38
BX = 000 Event : 97
0x00 0000100|0001100 0x020C
0x01 0000100|0001101 0x020D
0x02 0001000|0001101 0x040D
0x03 0010010|0001100 0x090C
0x04 0010010|0001101 0x090D
0x05 0010011|0001101 0x098D
0x06 0110000|0001000 0x1808
0x07 0110000|0001100 0x180C
0x08 0110000|0001101 0x180D
BX = 001 Event : 98
0x00 0000000|0000001 0x0001
0x01 0000000|0000010 0x0002
0x02 0011011|0000001 0x0D81
0x03 0011011|0000010 0x0D82
0x04 0101000|0011101 0x141D
0x05 0101001|0011101 0x149D
0x06 0101001|0100000 0x14A0
BX = 010 Event : 99
0x00 0010000|0011100 0x081C
0x01 0011010|0010000 0x0D10
0x02 0011100|0010000 0x0E10
0x03 0011101|0010000 0x0E90
0x04 0100111|0011000 0x1398
0x05 0100111|0011100 0x139C
0x06 0101100|0011100 0x161C
BX = 011 Event : 100
0x00 0000000|0110010 0x0032
0x01 0000111|0001010 0x038A
0x02 0110101|0110010 0x1AB2
0x03 0110111|0000101 0x1B85
0x04 0111001|0001010 0x1C8A
